"Categoria";"Decorrenza";"Scadenza";"Stato File";"Anno Scadenza";"Anno Stipula";"Tipologia";"Anno Decorrenza";"Codice CCNL";"Stipula";"Ultimo vigente";
"PORTUALI: Compagnie e Gruppi";"01/01/1987";"31/12/1990";"C";"1990";"1987";"Accordo di rinnovo";"1987";"I5D1870";"01/01/1987";"";
"CINEMA: Compravendita materiale - SACIS";"18/07/1990";"30/04/1993";"C";"1993";"1990";"Testo definitivo";"1990";"G191900";"01/01/1990";"";
"SACRISTI E DIPENDENTI DA PARROCCHIE";"01/01/1993";"31/12/1995";"C";"1995";"1993";"Testo definitivo";"1993";"V411930";"01/01/1993";"";
"CARTARIE E CARTOTECNICHE: Industrie";"01/01/1999";"30/06/2001";"C";"2001";"1999";"Economico 2. biennio";"1999";"G022990";"01/02/1999";"";
"PETROLIFERA GPL: Industrie";"01/07/2000";"30/06/2002";"C";"2002";"2000";"Economico 2. biennio";"2000";"B251000";"01/02/2000";"";
"MAGAZZINI GENERALI: Dirigenti";"01/04/1999";"31/12/2002";"C";"2002";"2000";"Accordo di rinnovo";"1999";"I241000";"01/02/2000";"";
"AUTOSCUOLE E SCUOLE DI NAUTICA";"01/02/2001";"31/12/2003";"C";"2003";"2001";"Accordo di rinnovo";"2001";"IC91010";"01/02/2001";"";
"AUTOSCUOLE E SCUOLE DI NAUTICA";"01/02/2001";"31/12/2003";"C";"2003";"2001";"Testo definitivo";"2001";"IC91011";"01/02/2001";"";
"SOTTOPRODOTTI DELLA MACELLAZIONE";"01/06/2005";"31/05/2007";"C";"2007";"2006";"Economico 2. biennio";"2005";"E031060";"01/02/2006";"";
"COMMERCIO E SERVIZI: Dirigenti";"01/01/1988";"31/12/1991";"C";"1991";"1988";"Testo definitivo";"1988";"H021880";"01/03/1988";"";
"FUNIVIE PORTUALI";"";"";"C";"";"1989";"Accordo di rinnovo";"";"I921890";"01/03/1989";"";
"GAS e ACQUA";"01/01/2002";"31/12/2005";"C";"2005";"2002";"Accordo di rinnovo";"2002";"K321020";"01/03/2002";"";
"GAS e ACQUA";"01/01/2002";"31/12/2005";"C";"2005";"2002";"Testo definitivo";"2002";"K321022";"01/03/2002";"";
"SCUOLA: Comparto PUBBLICO (Dirigenti)";"01/09/2000";"31/12/2001";"C";"2001";"2002";"Testo definitivo";"2000";"S322020";"01/03/2002";"";
"ISTITUTI SOCIO-SANITARI-ASSISTENZIALI (VALDESI)";"01/01/2002";"31/12/2005";"C";"2005";"2004";"Testo definitivo";"2002";"T101040";"01/03/2004";"";
"IPPICA: Scuderie Cavalli da Corsa al Galoppo";"01/03/2007";"28/02/2010";"C";"2010";"2007";"Accordo di rinnovo";"2007";"GI31071";"01/03/2007";"";
"Segretari Comunali e Provinciali";"01/01/2008";"31/12/2009";"C";"2009";"2011";"Economico 2. biennio";"2008";"S111";"01/03/2011";"";
"SERVIZI SOCIO-ASSISTENZIALI: Cooperative";"01/01/1992";"31/03/1995";"C";"1995";"1992";"Testo definitivo";"1992";"T151920";"01/04/1992";"";
"ELETTRICI: ENEL";"01/01/1995";"31/12/1998";"C";"1998";"1996";"Accordo di rinnovo";"1995";"K031960";"01/04/1996";"";
"ENTI LOCALI - REGIONI";"01/01/1998";"31/12/2001";"C";"2001";"1999";"Testo definitivo";"1998";"S101990";"01/04/1999";"";
"ENERGIA E PETROLIO";"";"";"C";"";"2004";"Verbale integrativo";"";"B254040";"01/04/2004";"";
"MARITTIMI: Operatori Ecologici";"01/05/1992";"31/05/1995";"C";"1995";"1992";"Accordo di rinnovo";"1992";"I741920";"01/05/1992";"";
